Código COMPE;Banco;Nome Completo;ISPB;Site
127;CODEPE CVC S.A.;Codepe Corretora de Valores e Câmbio S.A.;09512542;
128;BRAZA BANK S.A. BCO DE CÂMBIO;BRAZA BANK S.A. BANCO DE CÂMBIO;19307785;
129;UBS BRASIL BI S.A.;UBS Brasil Banco de Investimento S.A.;18520834;
130;CARUANA SCFI;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;09313766;
131;TULLETT PREBON BRASIL CVC LTDA;TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA;61747085;
132;ICBC DO BRASIL BM S.A.;ICBC do Brasil Banco Múltiplo S.A.;17453575;
133;CRESOL CONFEDERAÇÃO;CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E;10398952;
134;BGC LIQUIDEZ DTVM LTDA;BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;33862244;
136;CONF NAC COOP CENTRAIS UNICRED;CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASI;00315557;
138;GET MONEY CC LTDA;Get Money Corretora de Câmbio S.A.;10853017;
139;INTESA SANPAOLO BRASIL S.A. BM;Intesa Sanpaolo Brasil S.A. - Banco Múltiplo;55230916;
140;NU INVEST CORRETORA DE VALORES S.A.;NU INVEST CORRETORA DE VALORES S.A.;62169875;
141;MASTER BI S.A.;BANCO MASTER DE INVESTIMENTO S.A.;09526594;
142;BROKER BRASIL CC LTDA.;Broker Brasil Corretora de Câmbio Ltda.;16944141;
143;TREVISO CC S.A.;Treviso Corretora de Câmbio S.A.;02992317;
144;BEXS BCO DE CAMBIO S.A.;BEXS BANCO DE CÂMBIO S/A;13059145;
145;LEVYCAM CCV LTDA;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.;50579044;
146;GUITTA CC LTDA;GUITTA CORRETORA DE CAMBIO LTDA.;24074692;
149;FACTA S.A. CFI;Facta Financeira S.A. - Crédito Financiamento e Investimento;15581638;
157;ICAP DO BRASIL CTVM LTDA.;ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.;09105360;
159;CASA CREDITO S.A. SCM;Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor;05442029;
173;BRL TRUST DTVM SA;BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.;13486793;
174;PEFISA S.A. - C.F.I.;PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;
177;GUIDE;Guide Investimentos S.A. Corretora de Valores;65913436;
180;CM CAPITAL MARKETS CCTVM LTDA;CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA;02685483;
183;SOCRED SA - SCMEPP;SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P;09210106;
184;BCO ITAÚ BBA S.A.;Banco Itaú BBA S.A.;17298092;
188;ATIVA S.A. INVESTIMENTOS CCTVM;ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES;33775974;
189;HS FINANCEIRA;HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;07512441;
190;SERVICOOP;SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS E MUNICIPAI;03973814;
191;NOVA FUTURA CTVM LTDA.;Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.;04257795;
194;PARMETAL DTVM LTDA;PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;20155248;
195;VALOR SCD S.A.;VALOR SOCIEDADE DE CRÉDITO DIRETO S.A.;07799277;
196;FAIR CC S.A.;FAIR CORRETORA DE CAMBIO S.A.;32648370;
197;STONE IP S.A.;STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;
208;BANCO BTG PACTUAL S.A.;Banco BTG Pactual S.A.;30306294;
212;BANCO ORIGINAL;Banco Original S.A.;92894922;
213;BCO ARBI S.A.;Banco Arbi S.A.;54403563;
217;BANCO JOHN DEERE S.A.;Banco John Deere S.A.;91884981;
218;BCO BS2 S.A.;Banco BS2 S.A.;71027866;
222;BCO CRÉDIT AGRICOLE BR S.A.;BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;
224;BCO FIBRA S.A.;Banco Fibra S.A.;58616418;
233;BANCO CIFRA;Banco Cifra S.A.;62421979;
237;BCO BRADESCO S.A.;Banco Bradesco S.A.;60746948;
241;BCO CLASSICO S.A.;BANCO CLASSICO S.A.;31597552;
243;BANCO MASTER;BANCO MASTER S/A;33923798;
246;BCO ABC BRASIL S.A.;Banco ABC Brasil S.A.;28195667;
249;BANCO INVESTCRED UNIBANCO S.A.;Banco Investcred Unibanco S.A.;61182408;
250;BCV - BCO, CRÉDITO E VAREJO S.A.;BCV - BANCO DE CRÉDITO E VAREJO S.A.;50585090;
253;BEXS CC S.A.;Bexs Corretora de Câmbio S/A;52937216;
254;PARANA BCO S.A.;PARANÁ BANCO S.A.;14388334;
259;MONEYCORP BCO DE CÂMBIO S.A.;MONEYCORP BANCO DE CÂMBIO S.A.;08609934;
260;NU PAGAMENTOS - IP;NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;
265;BCO FATOR S.A.;Banco Fator S.A.;33644196;
266;BCO CEDULA S.A.;BANCO CEDULA S.A.;33132044;
268;BARI CIA HIPOTECÁRIA;BARI COMPANHIA HIPOTECÁRIA;14511781;
269;BCO HSBC S.A.;BANCO HSBC S.A.;53518684;
270;SAGITUR CC;SAGITUR CORRETORA DE CÂMBIO S.A.;61444949;
271;IB CCTVM S.A.;IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.;27842177;
272;AGK CC S.A.;AGK CORRETORA DE CAMBIO S.A.;00250699;
273;CCR DE SÃO MIGUEL DO OESTE;Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel;08253539;
274;BMP SCMEPP LTDA;BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.;11581339;
276;BCO SENFF S.A.;BANCO SENFF S.A.;11970623;
278;GENIAL INVESTIMENTOS CVM S.A.;Genial Investimentos Corretora de Valores Mobiliários S.A.;27652684;
279;COOP DE PRIMAVERA DO LESTE;PRIMACREDI COOPERATIVA DE CRÉDITO DE PRIMAVERA DO LESTE;26563270;
280;WILL FINANCEIRA S.A.CFI;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;
281;CCR COOPAVEL;Cooperativa de Crédito Rural Coopavel;76461557;
283;RB INVESTIMENTOS DTVM LTDA.;RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA;89960090;
285;FRENTE CC S.A.;FRENTE CORRETORA DE CÂMBIO S.A.;71677850;
288;CAROL DTVM LTDA.;CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;62237649;
289;EFX CC LTDA.;EFX CORRETORA DE CÂMBIO LTDA.;94968518;
290;PAGSEGURO INTERNET IP S.A.;PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;08561701;
292;BS2 DTVM S.A.;BS2 Distribuidora de Títulos e Valores Mobiliários S.A.;28650236;
293;LASTRO RDV DTVM LTDA;Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.;71590442;
296;OZ CORRETORA DE CÂMBIO S.A.;OZ CORRETORA DE CÂMBIO S.A.;04062902;
298;VIPS CC LTDA.;Vip's Corretora de Câmbio Ltda.;17772370;
299;BCO AFINZ S.A. - BM;BANCO AFINZ S.A. - BANCO MÚLTIPLO;04814563;
300;BCO LA NACION ARGENTINA;Banco de la Nacion Argentina;33042151;
