Código COMPE;Banco;Nome Completo;ISPB;Site
452;CREDIFIT SCD S.A.;CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.;39676772;
454;MÉRITO DTVM LTDA.;MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;41592532;
455;FÊNIX DTVM LTDA.;FÊNIX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;38429045;
457;UY3 SCD S/A;UY3 SOCIEDADE DE CRÉDITO DIRETO S/A;39587424;
458;HEDGE INVESTMENTS DTVM LTDA.;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;07253654;
459;CCM SERV. PÚBLICOS SP;COOPERATIVA DE CRÉDITO MÚTUO DE SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CRE;04546162;
460;UNAVANTI SCD S/A;UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A;42047025;
461;ASAAS IP S.A.;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.;19540550;
462;STARK SCD S.A.;STARK SOCIEDADE DE CRÉDITO DIRETO S.A.;39908427;
463;AZUMI DTVM;AZUMI DISTRIBUIDORA DE TíTULOS E VALORES MOBILIáRIOS LTDA.;40434681;
465;CAPITAL CONSIG SCD S.A.;CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.;40083667;
467;MASTER S/A CCTVM;MASTER S/A CORRETORA DE CâMBIO, TíTULOS E VALORES MOBILIáRIOS;33886862;
468;PORTOSEG S.A. CFI;PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;04862600;
469;LIGA INVEST DTVM LTDA.;LIGA INVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;07138049;
470;CDC SCD S.A.;CDC SOCIEDADE DE CRÉDITO DIRETO S.A.;18394228;
471;CECM SERV PUBL PINHÃO;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PUBLICOS DE PINHÃO - CRES;04831810;
475;BCO YAMAHA MOTOR S.A.;Banco Yamaha Motor do Brasil S.A.;10371492;
478;GAZINCRED S.A. SCFI;GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11760553;
481;SUPERLÓGICA SCD S.A.;SUPERLÓGICA SOCIEDADE DE CRÉDITO DIRETO S.A.;43599047;
482;SBCASH SCD;SBCASH SOCIEDADE DE CRÉDITO DIRETO S.A.;42259084;
484;MAF DTVM SA;MAF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;36864992;
506;RJI;RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;42066258;
507;SCFI EFÍ S.A.;SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A.;37229413;
508;AVENUE SECURITIES DTVM LTDA.;AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;61384004;
509;CELCOIN IP S.A.;CELCOIN INSTITUICAO DE PAGAMENTO S.A.;13935893;
510;FFCRED SCD S.A.;FFCRED SOCIEDADE DE CRÉDITO DIRETO S.A..;39738065;
511;MAGNUM SCD;MAGNUM SOCIEDADE DE CRÉDITO DIRETO S.A.;44683140;
512;FINVEST DTVM;FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;36266751;
513;ATF CREDIT SCD S.A.;ATF CREDIT SOCIEDADE DE CRÉDITO DIRETO S.A.;44728700;
516;QISTA S.A. CFI;QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36583700;
518;MERCADO CRÉDITO SCFI S.A.;MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;37679449;
519;LIONS TRUST DTVM;LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;40768766;
521;PEAK SEP S.A.;PEAK SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.;44019481;
522;RED SCD S.A.;RED SOCIEDADE DE CRÉDITO DIRETO S.A.;47593544;
523;HR DIGITAL SCD;HR DIGITAL - SOCIEDADE DE CRÉDITO DIRETO S/A;44292580;
524;WNT CAPITAL DTVM;WNT CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;45854066;
525;INTERCAM CC LTDA;INTERCAM CORRETORA DE CÂMBIO LTDA.;34265629;
526;MONETARIE SCD;MONETARIE SOCIEDADE DE CRÉDITO DIRETO S.A.;46026562;
527;ATICCA SCD S.A.;ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A.;44478623;
528;REAG DTVM S.A.;REAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;34829992;
529;PINBANK IP;PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.;17079937;
530;SER FINANCE SCD S.A.;SER FINANCE SOCIEDADE DE CRÉDITO DIRETO S.A.;47873449;
532;EAGLE SCD S.A.;EAGLE SOCIEDADE DE CRÉDITO DIRETO S.A.;45745537;
534;EWALLY IP S.A.;EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.;00714671;
535;MARU SCD S.A.;MARÚ SOCIEDADE DE CRÉDITO DIRETO S.A.;39519944;
536;NEON PAGAMENTOS S.A. IP;NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;20855875;
537;MICROCASH SCMEPP LTDA.;MICROCASH SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE;45756448;
539;SANTINVEST S.A. - CFI;SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;00122327;
541;FDO GARANTIDOR CRÉDITOS;FUNDO GARANTIDOR DE CREDITOS - FGC;00954288;
546;U4C INSTITUIÇÃO DE PAGAMENTO S.A.;U4C INSTITUIÇÃO DE PAGAMENTO S.A.;30980539;
